cba_name;formato_objetivo;supermarket;sku;name;brand;price_num;list_price_num;fallback_price_num;discount_price_num;unit;net_content;unit_family;size_std;price_per_unit_web;price_per_unit_list_web;price_per_std_unit_calc;category_std;subcategory;last_category;match_score;detail_url
Leche líquida entera;1 litro;jumbo;6609;Leche Colun Entera 1 L;Colun;1350.0;1350.0;1350.0;;;;volume;1000.0;;;1.35;;;Leche Líquida;10.5;https://www.jumbo.cl/leche-entera-colun-caja-1-l-natural/p
Leche líquida entera;1 litro;jumbo;102180;Leche Soprole Entera Cremosa 1 L;Soprole;1560.0;1560.0;1560.0;;;;volume;1000.0;;;1.56;;;Leche Líquida;10.5;https://www.jumbo.cl/leche-entera-4-5-mg-soprole-1l-1881647/p
Leche líquida entera;1 litro;lider;dom_1;Leche Natural Entera caja, 1 L;;990.0;990.0;990.0;;;;volume;1000.0;;;0.99;;Leche > Blanca;;10.5;https://super.lider.cl/ip/leche/00040000720074
Leche líquida entera;1 litro;lider;dom_4;Leche Entera Natural 1 l, 1 L;;1090.0;1090.0;1090.0;;;;volume;1000.0;;;1.09;;Leche > Blanca;;10.5;https://super.lider.cl/ip/leche/00780290000130
Leche líquida entera;1 litro;lider;dom_9;Leche Entera, 1 L;;1090.0;1090.0;1090.0;;;;volume;1000.0;;;1.09;;Leche > Blanca;;10.5;https://super.lider.cl/ip/leche/00780461747028
Leche líquida entera;1 litro;lider;dom_10;Leche Natural Entera Lonco Leche, 1 L;;1090.0;1090.0;1090.0;;;;volume;1000.0;;;1.09;;Leche > Blanca;;10.5;https://super.lider.cl/ip/leche/00780291000725
Leche líquida entera;1 litro;lider;dom_5;Leche Entera Natural Caja 1 l, 1 L;;1350.0;1350.0;100.0;;;;volume;1000.0;;;1.35;;Leche > Blanca;;10.5;https://super.lider.cl/ip/leche/00780292077754
Leche líquida entera;1 litro;unimarc;82635;Leche entera Los Peumos 1 L;Los Peumos;1050.0;1050.0;950.0;9500.0;litro;1 un;volume;1000.0;;;1.05;;Leches y cremas;Leches blancas;12.0;https://www.unimarc.cl/leche-entera-tetra-los-peumos-1lt/p
Leche líquida entera;1 litro;unimarc;2974;Leche entera natural con tapa Soprole 1 L Leche entera natural Soprole 1 L;Soprole;1150.0;1150.0;1100.0;11000.0;litro;1 un;volume;1000.0;;;1.15;;Leches y cremas;Leches blancas;12.0;https://www.unimarc.cl/leche-entera-natural-soprole-con-tapa-1-l-2/p
Leche líquida entera;1 litro;unimarc;80863;Leche de vaca libre Ecoterra entera 1 L;Ecoterra;3190.0;3190.0;3190.0;;litro;1 un;volume;1000.0;;;3.19;;Leches y cremas;Leches blancas;12.0;https://www.unimarc.cl/leche-entera-ecoterra-1-lt/p
Leche líquida entera;1 litro;unimarc;83190;Pack leche entera Los Peumos 12 un de 1 L;Los Peumos;12840.0;12840.0;11400.0;114000.0;litro;1 un;volume;1000.0;;;12.84;;Leches y cremas;Leches blancas;12.0;https://www.unimarc.cl/leche-entera-tetra-los-peumos-1lt-2/p
Leche líquida entera;1 litro;unimarc;65430;Pack leche entera Loncoleche 12 un 1 L;Loncoleche;13320.0;13320.0;12600.0;126000.0;litro;1 un;volume;1000.0;;;13.32;;Leches y cremas;Leches blancas;12.0;https://www.unimarc.cl/leche-entera-s-t-loncoleche-1-lt-2/p
Yogurt;100 g a 1 kg yogurt tradicional;jumbo;6953;Yogurt Batido Calán Semidescremado Frutilla 110 g;Calan;220.0;220.0;220.0;;;;mass;110.0;;;2.0;;;Yoghurt Batido;6.5;https://www.jumbo.cl/yoghurt-batido-calan-semidescremado-sabor-frutilla-120-g-2/p
Yogurt;100 g a 1 kg yogurt tradicional;jumbo;53885;Yogurt Batido Nestlé Frutilla 115 g;Nestlé;290.0;290.0;290.0;;;;mass;115.0;;;2.5217391304347827;;;Yoghurt Batido;6.5;https://www.jumbo.cl/yogurth-batido-nestle-115-g-frutilla/p
Yogurt;100 g a 1 kg yogurt tradicional;jumbo;53886;Yogurt Batido Nestlé Vainilla 115 g;Nestlé;290.0;290.0;290.0;;;;mass;115.0;;;2.5217391304347827;;;Yoghurt Batido;6.5;https://www.jumbo.cl/yogurth-batido-nestle-115-g-vainilla/p
Yogurt;100 g a 1 kg yogurt tradicional;jumbo;6979;Yogurt Batido Colun Vainilla 125 g;Colun;330.0;330.0;330.0;;;;mass;125.0;;;2.64;;;Yoghurt Batido;6.5;https://www.jumbo.cl/yoghurt-batido-colun-vainilla-125-g/p
Yogurt;100 g a 1 kg yogurt tradicional;jumbo;6972;Yogurt Batido Colun Frutilla 125 g;Colun;330.0;330.0;330.0;;;;mass;125.0;;;2.64;;;Yoghurt Batido;6.5;https://www.jumbo.cl/yoghurt-batido-colun-frutilla-125-g/p
