group_id;supermarket;name;brand;category_std;unit;unit_family;net_content;size_std;price;price_num;detail_url
9697;unimarc;Whisky Johnnie Walker 18 años 750 cc;Johnnie Walker;;litro;;1 un;;101390;101390.0;https://www.unimarc.cl/whisky-18a-j-walker-750-cc-bot/p
14680;unimarc;Whisky White Horse fine old 750 cc;White Horse;;litro;;1 un;;7990;7990.0;https://www.unimarc.cl/whisky-white-horse-750-cc-bot/p
14681;unimarc;Whisky Johnnie Walker etiqueta roja 1 L;Johnnie Walker;;litro;;1 un;;18390;18390.0;https://www.unimarc.cl/whisky-johnnie-walker-et-roja-1-l/p
14682;unimarc;Whisky Johnnie Walker blonde botella 750 cc;Johnnie Walker;;litro;;1 un;;15490;15490.0;https://www.unimarc.cl/whisky-blonde-johnnie-walker-750-cc-bot/p
14683;unimarc;Whisky Ballantine's bourbon finish 7 años botella 700 cc;Ballantines;;litro;;1 un;;14490;14490.0;https://www.unimarc.cl/whisky-7a-bourbon-ballantines-700-ml-bot/p
14684;unimarc;Whisky Irish Jameson 750 cc;Jameson;;litro;;1 un;;17690;17690.0;https://www.unimarc.cl/whisky-irish-jameson-750-cc-bot/p
14685;unimarc;Whisky Jack Daniel's fire 750 cc;Jack Daniels;;litro;;1 un;;30990;30990.0;https://www.unimarc.cl/whisky-jack-daniels-fire-750-bot/p
14686;unimarc;Whisky Buchanan's deluxe 750 ml;Buchanans;;litro;;1 un;;29990;29990.0;https://www.unimarc.cl/whisky-12a-buchanans-750-cc-bot/p
9711;unimarc;Whisky Chivas Regal 12 años 750 cc;Chivas Regal;;litro;;1 un;;37990;37990.0;https://www.unimarc.cl/whisky-12a-ch-regal-750cc-bot/p
14687;unimarc;Whisky Blenders Pride botella 1 L;Blenders Pride;;litro;;1 un;;7790;7790.0;https://www.unimarc.cl/whisky-blenders-pride-1-lt-bot/p
14688;unimarc;Cóctel Whisky Jack Daniels y coca cola lata 350 ml;Jack Daniels;;litro;;1 un;;2150;2150.0;https://www.unimarc.cl/coctel-whisky-jdaniels-y-coke-lata-350ml/p
